         150678 function calls (140598 primitive calls) in 0.584 CPU seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 query.py:1764(get_order_dir)
        6    0.000    0.000    0.000    0.000 ext.py:70(preprocess)
        2    0.000    0.000    0.000    0.000 forms.py:71(__init__)
        2    0.000    0.000    0.000    0.000 index.html:30(block_breadcrumbsdiv)
        1    0.000    0.000    0.000    0.000 :1(settimeout)
       62    0.000    0.000    0.000    0.000 {method 'store_result' of '_mysql.connection' objects}
        1    0.000    0.000    0.000    0.000 connections.py:183(_get_unicode_literal)
       39    0.000    0.000    0.004    0.000 nodes.py:628(as_const)
        7    0.000    0.000    0.000    0.000 {built-in method release}
        1    0.000    0.000    0.580    0.580 response.py:13(render_to_response)
        2    0.000    0.000    0.000    0.000 copy_reg.py:95(_slotnames)
        6    0.000    0.000    0.000    0.000 lexer.py:162(__init__)
      590    0.000    0.000    0.012    0.000 {method 'extend' of 'collections.deque' objects}
       62    0.000    0.000    0.012    0.000 cursors.py:311(_query)
        6    0.000    0.000    0.000    0.000 {reduce}
       71    0.000    0.000    0.000    0.000 __init__.py:137(field_cast_sql)
        2    0.000    0.000    0.000    0.000 runtime.py:224(__init__)
  125/105    0.000    0.000    0.032    0.000 parser.py:399(parse_div)
        1    0.000    0.000    0.020    0.020 lexer.py:274(__init__)
       12    0.000    0.000    0.004    0.000 copy.py:232(_deepcopy_tuple)
        1    0.000    0.000    0.000    0.000 connections.py:44(__init__)
       83    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       21    0.000    0.000    0.000    0.000 {binascii.crc32}
        1    0.000    0.000    0.000    0.000 __init__.py:271(__init__)
        2    0.000    0.000    0.000    0.000 forms.py:108(_get_errors)
        6    0.000    0.000    0.000    0.000 pkg_resources.py:1246(_get)
      124    0.000    0.000    0.000    0.000 query.py:1748()
       43    0.000    0.000    0.104    0.002 sidebar.html:5(root)
      320    0.000    0.000    0.000    0.000 options.py:186(_fields)
        1    0.000    0.000    0.000    0.000 forms.py:411(_auto_id)
        1    0.000    0.000    0.000    0.000 unicode_escape.py:20(IncrementalEncoder)
        4    0.000    0.000    0.000    0.000 html.py:30(escape)
        1    0.000    0.000    0.000    0.000 unicode_escape.py:36(getregentry)
        2    0.000    0.000    0.000    0.000 base.html:48(block_meta_description)
       82    0.000    0.000    0.004    0.000 query.py:905(join)
       71    0.000    0.000    0.000    0.000 datastructures.py:401(__init__)
       72    0.000    0.000    0.000    0.000 {callable}
      177    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
       14    0.000    0.000    0.000    0.000 compiler.py:399(end_write)
       62    0.000    0.000    0.000    0.000 where.py:69(as_sql)
       38    0.000    0.000    0.000    0.000 {method 'replace' of 'unicode' objects}
      515    0.000    0.000    0.000    0.000 lexer.py:204(skip_if)
        2    0.000    0.000    0.000    0.000 forms.py:317(__init__)
        6    0.000    0.000    0.028    0.005 parser.py:26(__init__)
       40    0.000    0.000    0.000    0.000 runtime.py:246()
        1    0.000    0.000    0.000    0.000 :1(connect)
     1116    0.000    0.000    0.012    0.000 compiler.py:425(write)
       22    0.000    0.000    0.000    0.000 compiler.py:191(soft)
        6    0.000    0.000    0.412    0.069 loaders.py:82(load)
       12    0.000    0.000    0.000    0.000 {posix.stat}
       53    0.000    0.000    0.000    0.000 nodes.py:536(as_const)
      455    0.000    0.000    0.000    0.000 {hasattr}
       14    0.000    0.000    0.000    0.000 compiler.py:638(macro_def)
       10    0.000    0.000    0.000    0.000 runtime.py:99(resolve)
        6    0.000    0.000    0.188    0.031 compiler.py:38(generate)
        6    0.000    0.000    0.000    0.000 pkg_resources.py:1119(get_resource_filename)
       72    0.000    0.000    0.032    0.000 query.py:498(_filter_or_exclude)
        4    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.004    0.004 models.py:50(leaderboard)
       73    0.000    0.000    0.000    0.000 query.py:1520(can_filter)
        6    0.000    0.000    0.000    0.000 {method 'splitlines' of 'unicode' objects}
        1    0.000    0.000    0.000    0.000 sidebar.html:1()
       19    0.000    0.000    0.000    0.000 nodes.py:156(set_ctx)
       21    0.000    0.000    0.000    0.000 encoding.py:73(smart_str)
       62    0.000    0.000    0.000    0.000 {method 'escape' of '_mysql.connection' objects}
      127    0.000    0.000    0.000    0.000 sre_parse.py:201(match)
      106    0.000    0.000    0.000    0.000 lexer.py:121(test_any)
       10    0.000    0.000    0.000    0.000 compiler.py:404(simple_write)
       38    0.000    0.000    0.000    0.000 compiler.py:505(pull_locals)
     1018    0.000    0.000    0.092    0.000 lexer.py:208(next)
      204    0.000    0.000    0.000    0.000 compiler.py:236(visit_Name)
        1    0.000    0.000    0.000    0.000 parser.py:156(parse_extends)
        2    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        6    0.000    0.000    0.000    0.000 optimizer.py:32(__init__)
