   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 fields.py:409(clean)
      181    0.000    0.000    0.000    0.000 query.py:134(quote_name_unless_alias)
       23    0.000    0.000    0.000    0.000 options.py:265(get_field_by_name)
        2    0.000    0.000    0.000    0.000 base.html:76(block_footer)
        4    0.000    0.000    0.000    0.000 manager.py:149(__get__)
        2    0.000    0.000    0.000    0.000 query.py:760(promote_alias)
        2    0.000    0.000    0.000    0.000 query.py:777(promote_alias_chain)
       60    0.000    0.000    0.000    0.000 options.py:186(_fields)
        1    0.000    0.000    0.000    0.000 forms.py:411(_auto_id)
        1    0.000    0.000    0.000    0.000 __init__.py:139(__init__)
        1    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        1    0.000    0.000    0.000    0.000 forms.py:247(clean)
        4    0.000    0.000    0.000    0.000 html.py:30(escape)
      188    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 runtime.py:224(__init__)
        2    0.000    0.000    0.000    0.000 query.py:556(order_by)
       12    0.000    0.000    0.016    0.001 util.py:16(execute)
        1    0.000    0.000    0.000    0.000 manager.py:77(all)
       12    0.000    0.000    0.008    0.001 cursors.py:273(_do_query)
        3    0.000    0.000    0.000    0.000 index.html:34(block_title)
        2    0.000    0.000    0.000    0.000 forms.py:131(add_initial_prefix)
        6    0.000    0.000    0.000    0.000 genericpath.py:52(getmtime)
       10    0.000    0.000    0.000    0.000 __init__.py:350(get_db_prep_value)
       12    0.000    0.000    0.000    0.000 query.py:905(join)
       11    0.000    0.000    0.000    0.000 datastructures.py:401(__init__)
       12    0.000    0.000    0.000    0.000 {callable}
       28    0.000    0.000    0.000    0.000 runtime.py:238(cycle)
        4    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
       23    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
        1    0.000    0.000    0.004    0.004 forms.py:329(__unicode__)
       16    0.000    0.000    0.012    0.001 query.py:150(clone)
        2    0.000    0.000    0.000    0.000 forms.py:20(pretty_name)
        1    0.000    0.000    0.000    0.000 runtime.py:78(super)
       25    0.000    0.000    0.000    0.000 {min}
      128    0.000    0.000    0.000    0.000 {iter}
        1    0.000    0.000    0.964    0.964 views.py:7(index)
       12    0.000    0.000    0.000    0.000 where.py:69(as_sql)
       20    0.000    0.000    0.000    0.000 {method 'replace' of 'unicode' objects}
       12    0.000    0.000    0.000    0.000 cursors.py:72(_warning_check)
       31    0.000    0.000    0.000    0.000 datastructures.py:62(__init__)
        2    0.000    0.000    0.000    0.000 footer.html:5(root)
        2    0.000    0.000    0.000    0.000 forms.py:317(__init__)
       12    0.000    0.000    0.000    0.000 query_utils.py:30(__init__)
       10    0.000    0.000    0.028    0.003 query.py:152(__len__)
      104    0.000    0.000    0.000    0.000 runtime.py:246()
       60    0.000    0.000    0.000    0.000 cursors.py:124(_get_db)
        2    0.000    0.000    0.004    0.002 models.py:53(cache_get)
       31    0.000    0.000    0.000    0.000 datastructures.py:57(__new__)
        6    0.000    0.000    0.000    0.000 {posix.stat}
        1    0.000    0.000    0.000    0.000 runtime.py:109(get_exported)
       11    0.000    0.000    0.000    0.000 __init__.py:167()
      207    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:271(__init__)
      246    0.000    0.000    0.212    0.001 memcache.py:872(send_cmd)
        4    0.000    0.000    0.000    0.000 runtime.py:378(__init__)
        1    0.000    0.000    0.000    0.000 forms.py:115(is_valid)
       16    0.000    0.000    0.000    0.000 __init__.py:26(__getattr__)
       13    0.000    0.000    0.000    0.000 query.py:886(get_initial_alias)
       12    0.000    0.000    0.000    0.000 cursors.py:338(fetchall)
      296    0.000    0.000    0.000    0.000 {setattr}
      246    0.000    0.000    0.004    0.000 memcache.py:837(connect)
        4    0.000    0.000    0.000    0.000 query.py:1764(get_order_dir)
        1    0.000    0.000    0.956    0.956 environment.py:600(render)
       10    0.000    0.000    0.000    0.000 runtime.py:99(resolve)
       38    0.000    0.000    0.056    0.001 models.py:213(percentage)
       84    0.000    0.000    0.000    0.000 environment.py:312(getitem)
       12    0.000    0.000    0.012    0.001 query.py:498(_filter_or_exclude)
        4    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
       12    0.000    0.000    0.000    0.000 cursors.py:309(_get_result)
       32    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       13    0.000    0.000    0.000    0.000 query.py:1520(can_filter)
        1    0.000    0.000    0.000    0.000 __init__.py:160(_set_encoding)
        1    0.000    0.000    0.000    0.000 datastructures.py:119(values)
        3    0.000    0.000    0.000    0.000 {method '__getitem__' of 'dict' objects}
        1    0.000    0.000    0.964    0.964 response.py:33(render)
      157    0.000    0.000    0.000    0.000 utf_8.py:15(decode)
        1    0.000    0.000    0.000    0.000 {method 'startswith' of 'unicode' objects}
        6    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
       11    0.000    0.000    0.000    0.000 tree.py:83(add)
        1    0.000    0.000    0.956    0.956 response.py:13(render_to_response)
       12    0.000    0.000    0.000    0.000 {method 'ping' of '_mysql.connection' objects}
        2    0.000    0.000    0.000    0.000 datastructures.py:74(__deepcopy__)
       12    0.000    0.000    0.000    0.000 datastructures.py:122(itervalues)
      246    0.000    0.000    0.000    0.000 {method 'has_key' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 datastructures.py:188(__init__)
       12    0.000    0.000    0.000    0.000 runtime.py:305(__init__)
        1    0.000    0.000    0.000    0.000 wsgi.py:167(_get_post)
       86    0.000    0.000    0.000    0.000 query.py:165(__iter__)
       12    0.000    0.000    0.016    0.001 base.py:81(execute)
        4    0.000    0.000    0.000    0.000 copy.py:65(copy)
       84    0.000    0.000    0.000    0.000 query.py:187(__nonzero__)
        1    0.000    0.000    0.000    0.000 forms.py:335(_errors)
        6    0.000    0.000    0.000    0.000 environment.py:476(get_template)
       12    0.000    0.000    0.016    0.001 cursors.py:129(execute)
       85    0.000    0.000    0.956    0.011 index.html:5(root)
       12    0.000    0.000    0.000    0.000 {built-in method describe}
        8    0.000    0.000    0.000    0.000 runtime.py:76()
       38    0.000    0.000    0.000    0.000 {math.ceil}
       24    0.000    0.000    0.004    0.000 query.py:1748()
       30    0.000    0.000    0.000    0.000 base.py:194(__init__)
        1    0.000    0.000    0.000    0.000 response.py:82(get_section)
        4    0.000    0.000    0.000    0.000 query.py:752(ref_alias)
       12    0.000    0.000    0.000    0.000 {_weakref.proxy}
        1    0.000    0.000    0.000    0.000 fields.py:146(clean)
       29    0.000    0.000    0.000    0.000 query.py:124(__init__)
        6    0.000    0.000    0.000    0.000 loaders.py:199(uptodate)
        5    0.000    0.000    0.000    0.000 environment.py:464(join_path)
        1    0.000    0.000    0.000    0.000 widgets.py:211(render)
      168    0.000    0.000    0.000    0.000 query.py:115(__setstate__)
       37    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       12    0.000    0.000    0.000    0.000 cursors.py:40(__init__)
       28    0.000    0.000    0.000    0.000 base.py:22(__unicode__)
        2    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       12    0.000    0.000    0.012    0.001 query.py:417(get_columns)
       43    0.000    0.000    0.000    0.000 encoding.py:25(smart_unicode)
       12    0.000    0.000    0.000    0.000 {method 'affected_rows' of '_mysql.connection' objects}
       38    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       12    0.000    0.000    0.008    0.001 cursors.py:282(_fetch_row)
       39    0.000    0.000    0.000    0.000 runtime.py:296(next)
        1    0.000    0.000    0.000    0.000 {zip}
        9    0.000    0.000    0.000    0.000 base.html:51(block_head)
        4    0.000    0.000    0.864    0.216 index.html:14(block_content)
        6    0.000    0.000    0.000    0.000 environment.py:700(is_up_to_date)
       16    0.000    0.000    0.000    0.000 datastructures.py:109(iteritems)
        1    0.000    0.000    0.000    0.000 widgets.py:165(value_from_datadict)
       12    0.000    0.000    0.004    0.000 query.py:1231(add_q)
        2    0.000    0.000    0.000    0.000 query.py:1580(clear_ordering)
       36    0.000    0.000    0.000    0.000 cursors.py:68(_check_executed)
       10    0.000    0.000    0.000    0.000 __init__.py:174(get_internal_type)
        1    0.000    0.000    0.000    0.000 widgets.py:158(build_attrs)
        3    0.000    0.000    0.000    0.000 runtime.py:425(__nonzero__)
       20    0.000    0.000    0.000    0.000 times.py:43(DateTime_or_None)
       12    0.000    0.000    0.000    0.000 cursors.py:107(_do_get_result)
       12    0.000    0.000    0.000    0.000 connections.py:217(cursor)
       12    0.000    0.000    0.000    0.000 query.py:599(get_ordering)
       81    0.000    0.000    0.000    0.000 {hasattr}
        1    0.000    0.000    0.000    0.000 urlparse.py:316(parse_qsl)
       10    0.000    0.000    0.000    0.000 files.py:130(__set__)
       12    0.000    0.000    0.000    0.000 util.py:12(__init__)
        2    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       12    0.000    0.000    0.000    0.000 {method 'escape' of '_mysql.connection' objects}
        6    0.000    0.000    0.000    0.000 {method 'remove' of 'collections.deque' objects}
      171    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       12    0.000    0.000    0.000    0.000 base.py:78(__init__)
       10    0.000    0.000    0.000    0.000 related.py:596(get_related_field)
        5    0.000    0.000    0.000    0.000 forms.py:122(add_prefix)
     15/1    0.000    0.000    0.956    0.956 {method 'join' of 'unicode' objects}
       60    0.000    0.000    0.000    0.000 dispatcher.py:127(send)
        1    0.000    0.000    0.000    0.000 environment.py:727(__init__)
        1    0.000    0.000    0.000    0.000 :1(connect)
       12    0.000    0.000    0.028    0.002 query.py:1712(execute_sql)
        1    0.000    0.000    0.000    0.000 datastructures.py:106(items)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       41    0.000    0.000    0.000    0.000 tree.py:18(__init__)
        1    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}


